# Daily weather, Berlin-Tempelhof, grid point 52.47 N 13.40 E (Open-Meteo Historical Weather API, ERA5 / ERA5-Land reanalysis),
#   https://archive-api.open-meteo.com/v1/archive?latitude=52.47&longitude=13.40&daily=temperature_2m_max,precipitation_sum&timezone=Europe%2FBerlin,
#   CC BY 4.0 (Open-Meteo, Copernicus ERA5), retrieved 2026-09-25.
# tmax = daily maximum temperature 2 m in deg C, prcp = daily precipitation sum in mm.
# Gridded reanalysis, not a station series such as the Tempelhof (Meteostat) files of the VSP Berlin production scenario.
# Mean per calendar day over 1996-2025 (data up to 2025-08-31). EpisimUtils uses it for the days after the
# last date of berlin-weather-2025-26.csv; monthDay is month-day without leading zeros, as EpisimUtils expects.
monthDay,tmax,prcp
3-9,8.26,2.15
3-10,8.28,1.92
3-11,8.09,1.93
3-12,7.81,1.60
3-13,8.56,1.13
3-14,8.02,2.26
3-15,8.12,0.93
3-16,8.76,1.22
3-17,9.00,1.36
3-18,9.09,1.03
3-19,8.47,2.11
3-20,8.27,0.93
3-21,8.79,1.96
3-22,8.84,1.72
3-23,9.00,1.46
3-24,9.67,0.91
3-25,9.86,1.18
3-26,10.34,0.86
3-27,10.41,1.58
3-28,10.69,1.14
3-29,11.12,1.44
3-30,12.28,1.15
3-31,12.08,1.61
4-1,12.29,0.78
4-2,12.02,1.02
4-3,13.15,1.11
4-4,12.66,1.50
4-5,11.55,1.01
4-6,11.81,0.92
4-7,12.38,1.63
4-8,12.69,0.86
4-9,12.33,0.71
4-10,12.44,0.96
4-11,12.60,0.99
4-12,12.76,1.53
4-13,13.02,1.37
4-14,12.77,2.21
4-15,13.77,2.48
4-16,13.62,1.58
4-17,14.11,1.44
4-18,14.13,1.15
4-19,14.05,1.36
4-20,14.73,0.35
4-21,15.50,0.63
4-22,15.69,1.02
4-23,16.17,0.76
4-24,16.33,0.51
4-25,16.00,0.99
4-26,16.67,1.71
4-27,16.71,1.64
4-28,17.77,0.77
4-29,17.62,1.31
4-30,18.55,0.50
5-1,18.11,0.87
5-2,17.28,1.56
5-3,17.24,2.14
5-4,16.11,1.98
5-5,16.32,2.20
5-6,16.91,2.46
5-7,16.75,1.55
5-8,18.25,1.35
5-9,19.04,1.30
5-10,19.77,1.49
5-11,19.87,2.12
5-12,18.83,1.73
5-13,17.79,1.00
5-14,18.10,0.89
5-15,17.22,2.66
5-16,17.97,1.19
5-17,18.56,1.73
5-18,18.70,1.90
5-19,19.78,2.04
5-20,19.74,2.26
5-21,20.17,0.96
5-22,20.10,1.97
5-23,19.32,1.38
5-24,19.67,1.50
5-25,19.16,1.98
5-26,19.85,2.11
5-27,19.91,2.49
5-28,20.00,2.75
5-29,20.57,0.76
5-30,21.08,2.43
5-31,21.37,2.55
6-1,20.71,2.57
6-2,21.37,1.67
6-3,21.65,1.22
6-4,21.76,1.28
6-5,22.55,1.57
6-6,22.63,1.27
6-7,22.81,1.60
6-8,23.47,1.51
6-9,23.12,0.89
6-10,23.48,1.59
6-11,22.87,1.85
6-12,22.15,1.46
6-13,21.22,1.70
6-14,21.75,1.50
6-15,22.86,1.59
6-16,21.36,2.91
6-17,22.54,1.72
6-18,23.64,1.85
6-19,23.25,0.62
6-20,22.63,2.00
6-21,22.86,2.81
6-22,22.78,2.34
6-23,22.03,3.58
6-24,21.86,1.40
6-25,22.61,3.48
6-26,22.91,2.08
6-27,22.94,0.81
6-28,22.98,1.51
6-29,24.08,4.33
6-30,22.77,4.58
7-1,22.67,4.33
7-2,22.94,1.94
7-3,24.04,1.26
7-4,23.94,1.91
7-5,24.15,2.99
7-6,23.57,2.25
7-7,23.10,3.12
7-8,22.62,3.87
7-9,22.67,3.20
7-10,23.50,2.59
7-11,23.56,2.70
7-12,22.70,4.08
7-13,23.20,2.36
7-14,23.15,2.26
7-15,22.87,1.16
7-16,23.67,1.51
7-17,23.99,3.06
7-18,23.74,2.32
7-19,24.35,1.41
