# Daily weather, Cologne grid point 50.94 N 6.96 E (Open-Meteo Historical Weather API, ERA5 / ERA5-Land reanalysis),
#   https://archive-api.open-meteo.com/v1/archive?latitude=50.94&longitude=6.96&daily=temperature_2m_max,precipitation_sum&timezone=Europe%2FBerlin,
#   CC BY 4.0 (Open-Meteo, Copernicus ERA5), retrieved 2026-09-25.
# tmax = daily maximum temperature 2 m in deg C, prcp = daily precipitation sum in mm.
# Gridded reanalysis, not a station series such as the Koeln-Bonn station.
# Mean per calendar day over 1996-2025 (data up to 2025-08-31). EpisimUtils uses it for the days after the
# last date of cologne-weather-2025-26.csv; monthDay is month-day without leading zeros, as EpisimUtils expects.
monthDay,tmax,prcp
4-27,15.74,2.72
4-28,16.63,2.57
4-29,16.31,2.72
4-30,16.86,1.87
5-1,17.22,1.24
5-2,17.49,2.13
5-3,16.54,2.87
5-4,16.19,1.95
5-5,16.25,2.25
5-6,16.64,3.31
5-7,17.13,3.57
5-8,18.04,1.87
5-9,19.20,1.75
5-10,19.03,1.94
5-11,19.00,2.30
5-12,18.16,1.34
5-13,18.19,1.76
5-14,17.89,1.11
5-15,17.41,1.67
5-16,17.84,2.55
5-17,17.83,2.45
5-18,18.23,1.33
5-19,18.93,2.15
5-20,19.04,1.69
5-21,19.42,2.44
5-22,18.76,2.68
5-23,18.32,1.81
5-24,18.65,1.76
5-25,18.84,2.13
5-26,19.52,2.58
5-27,19.52,2.71
5-28,19.93,1.64
5-29,20.00,2.67
5-30,20.11,3.16
5-31,19.82,2.81
6-1,19.81,3.71
6-2,21.46,2.91
6-3,21.17,1.72
6-4,21.32,2.12
6-5,21.05,3.18
6-6,21.33,2.33
6-7,21.43,2.03
6-8,21.31,3.00
6-9,21.48,1.37
6-10,21.97,1.67
6-11,21.09,2.30
6-12,20.45,2.44
6-13,20.72,2.06
6-14,21.83,1.75
6-15,21.43,2.01
6-16,20.86,1.74
6-17,22.94,1.01
6-18,23.07,2.53
6-19,22.26,1.66
6-20,22.21,4.07
6-21,21.87,4.82
6-22,21.71,4.51
6-23,21.78,2.02
6-24,21.95,1.96
6-25,22.72,2.48
6-26,22.82,1.89
6-27,22.80,2.78
6-28,22.37,1.89
6-29,22.92,3.55
6-30,22.68,2.59
7-1,22.23,2.41
7-2,22.94,1.91
7-3,22.58,3.01
7-4,23.17,2.89
7-5,23.03,3.04
7-6,22.14,2.04
7-7,22.19,2.06
7-8,21.59,3.74
7-9,22.35,3.36
7-10,22.68,3.44
7-11,22.53,1.86
7-12,22.36,3.74
7-13,22.09,3.27
7-14,22.27,8.07
7-15,22.41,2.03
7-16,22.90,2.01
7-17,23.04,1.78
7-18,24.31,1.20
7-19,24.88,2.34
7-20,25.05,2.87
7-21,23.57,2.11
7-22,23.52,1.13
7-23,23.78,2.48
7-24,23.58,4.61
7-25,23.89,2.98
7-26,23.88,2.81
7-27,24.58,3.41
7-28,23.43,5.67
7-29,23.24,3.72
7-30,23.86,2.30
7-31,23.24,1.44
8-1,23.75,2.65
8-2,23.98,2.79
8-3,23.74,2.83
8-4,23.62,1.75
8-5,23.87,1.97
8-6,24.60,3.06
8-7,24.72,2.05
8-8,23.18,2.77
8-9,23.94,3.34
8-10,23.50,3.08
8-11,23.76,2.40
8-12,24.48,2.58
8-13,23.91,1.93
8-14,23.92,2.77
8-15,23.65,2.99
8-16,23.13,1.93
8-17,22.94,2.20
8-18,23.86,3.50
8-19,23.91,1.96
8-20,23.49,1.47
8-21,22.67,3.75
8-22,22.35,4.03
8-23,23.62,1.58
8-24,23.66,2.97
8-25,22.58,2.20
8-26,23.11,3.47
8-27,22.08,3.48
8-28,21.38,3.59
